type,diagnosis_code,diagnosis_description
icd10,A00,Cholera
icd10,A01,Typhoid and paratyphoid fevers
icd10,A02,Other salmonella infections
icd10,A03,Shigellosis
icd10,A04,Other bacterial intestinal infections
icd10,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
icd10,A06,Amoebiasis
icd10,A07,Other protozoal intestinal diseases
icd10,A08,Viral and other specified intestinal infections
icd10,A09,Other gastroenteritis and colitis of infectious and unspecified origin
icd10,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
icd10,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
icd10,A17,Tuberculosis of nervous system
icd10,A18,Tuberculosis of other organs
icd10,A19,Miliary tuberculosis
icd10,A20,Plague
icd10,A21,Tularaemia
icd10,A22,Anthrax
icd10,A23,Brucellosis
icd10,A24,Glanders and melioidosis
icd10,A25,Rat-bite fevers
icd10,A26,Erysipeloid
icd10,A27,Leptospirosis
icd10,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
icd10,A30,Leprosy [Hansen disease]
icd10,A31,Infection due to other mycobacteria
icd10,A32,Listeriosis
icd10,A33,Tetanus neonatorum
icd10,A34,Obstetrical tetanus
icd10,A35,Other tetanus
icd10,A36,Diphtheria
icd10,A37,Whooping cough
icd10,A38,Scarlet fever
icd10,A39,Meningococcal infection
icd10,A40,Streptococcal sepsis
icd10,A41,Other sepsis
icd10,A42,Actinomycosis
icd10,A43,Nocardiosis
icd10,A44,Bartonellosis
icd10,A46,Erysipelas
icd10,A48,"Other bacterial diseases, not elsewhere classified"
icd10,A49,Bacterial infection of unspecified site
icd10,A50,Congenital syphilis
icd10,A51,Early syphilis
icd10,A52,Late syphilis
icd10,A53,Other and unspecified syphilis
icd10,A54,Gonococcal infection
icd10,A55,Chlamydial lymphogranuloma (venereum)
icd10,A56,Other sexually transmitted chlamydial diseases
icd10,A57,Chancroid
icd10,A58,Granuloma inguinale
icd10,A59,Trichomoniasis
icd10,A60,Anogenital herpesviral [herpes simplex] infection
icd10,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
icd10,A64,Unspecified sexually transmitted disease
icd10,A65,Nonvenereal syphilis
icd10,A66,Yaws
icd10,A67,Pinta [carate]
icd10,A68,Relapsing fevers
icd10,A69,Other spirochaetal infections
icd10,A70,Chlamydia psittaci infection
