strategy,category,category_name,is_care_shift
discharged_no_treatment_adult_ambulance,discharged_no_treatment,Discharged No Treatment,TRUE
discharged_no_treatment_adult_walk-in,discharged_no_treatment,Discharged No Treatment,TRUE
discharged_no_treatment_child_ambulance,discharged_no_treatment,Discharged No Treatment,TRUE
discharged_no_treatment_child_walk-in,discharged_no_treatment,Discharged No Treatment,TRUE
frequent_attenders_adult_ambulance,frequent_attenders,Frequent Attenders,TRUE
frequent_attenders_adult_walk-in,frequent_attenders,Frequent Attenders,TRUE
frequent_attenders_child_ambulance,frequent_attenders,Frequent Attenders,TRUE
frequent_attenders_child_walk-in,frequent_attenders,Frequent Attenders,TRUE
left_before_seen_adult_ambulance,left_before_seen,Left Before Seen,TRUE
left_before_seen_adult_walk-in,left_before_seen,Left Before Seen,TRUE
left_before_seen_child_ambulance,left_before_seen,Left Before Seen,TRUE
left_before_seen_child_walk-in,left_before_seen,Left Before Seen,TRUE
low_cost_discharged_adult_ambulance,low_cost_discharged,Low Cost Discharged,TRUE
low_cost_discharged_adult_walk-in,low_cost_discharged,Low Cost Discharged,TRUE
low_cost_discharged_child_ambulance,low_cost_discharged,Low Cost Discharged,TRUE
low_cost_discharged_child_walk-in,low_cost_discharged,Low Cost Discharged,TRUE
alcohol_partially_attributable_acute,public_health,Public Health,TRUE
alcohol_partially_attributable_chronic,public_health,Public Health,TRUE
alcohol_wholly_attributable,public_health,Public Health,TRUE
ambulatory_care_conditions_acute,acsc_inpatient_avoidance,ACSC & Inpatient Avoidance,TRUE
ambulatory_care_conditions_chronic,acsc_inpatient_avoidance,ACSC & Inpatient Avoidance,TRUE
ambulatory_care_conditions_vaccine_preventable,acsc_inpatient_avoidance,ACSC & Inpatient Avoidance,TRUE
cancelled_operations,day_procedures_cancelled_ops_and_pre_op_lo_s,"Day Procedures, Cancelled Ops, and Pre-op LoS",FALSE
eol_care_2_days,frailty_and_older_people,Frailty and Older People,TRUE
eol_care_3_to_14_days,frailty_and_older_people,Frailty and Older People,TRUE
evidence_based_interventions_ent,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
evidence_based_interventions_general_surgery,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
evidence_based_interventions_gi_surgical,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
evidence_based_interventions_msk,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
evidence_based_interventions_urology,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
evidence_based_interventions_vascular_varicose_veins,interventions_with_limited_evidence,Interventions with Limited Evidence,FALSE
falls_related_admissions,frailty_and_older_people,Frailty and Older People,TRUE
frail_elderly_high,frailty_and_older_people,Frailty and Older People,TRUE
frail_elderly_intermediate,frailty_and_older_people,Frailty and Older People,TRUE
intentional_self_harm,mental_health,Mental Health,TRUE
medically_unexplained_related_admissions,mental_health,Mental Health,TRUE
medicines_related_admissions_explicit,medicines_related_admissions,Medicines Related Admissions,TRUE
medicines_related_admissions_implicit_anti-diabetics,medicines_related_admissions,Medicines Related Admissions,TRUE
